,Age,Unnamed: 0,Unnamed: 0.1,cantonName,faction,party,birthDate,firstName,lastName,gender,entryDate
204,48,204,4323,VD,GL,pvl,1974-08-22T00:00:00Z,Céline,Weber,f,2021-11-29T00:00:00Z
47,48,47,4159,TI,V,UDC,1974-10-10T00:00:00Z,Marco,Chiesa,m,2015-11-30T00:00:00Z
210,49,210,1279,VD,S,PSS,1973-03-23T00:00:00Z,Roger,Nordmann,m,2004-11-30T00:00:00Z
246,49,246,3923,VD,S,PSS,1973-03-10T00:00:00Z,Ada,Marra,f,2007-12-03T00:00:00Z
85,49,85,1125,ZH,None,PSS,1972-12-17T00:00:00Z,Chantal,Galladé,f,2003-12-01T00:00:00Z
259,49,259,4042,BS,None,UDC,1973-09-02T00:00:00Z,Sebastian,Frehner,m,2010-11-29T00:00:00Z
191,49,191,4308,GE,G,VERT-E-S,1973-03-17T00:00:00Z,Isabelle,Pasquier-Eichenberger,f,2019-12-02T00:00:00Z
180,49,180,4295,AG,S,PSS,1972-12-12T00:00:00Z,Gabriela,Suter,f,2019-12-02T00:00:00Z
61,49,61,4173,BL,V,UDC,1973-10-27T00:00:00Z,Sandra,Sollberger,f,2015-11-30T00:00:00Z
11,49,11,4107,VD,None,PSS,1973-09-14T00:00:00Z,Cesla,Amarelle,f,2011-12-05T00:00:00Z
291,50,291,4082,AG,None,PBD,1972-06-10T00:00:00Z,Bernhard,Guhl,m,2011-12-05T00:00:00Z
12,50,12,4108,VD,None,pvl,1972-04-13T00:00:00Z,Isabelle,Chevalley,f,2011-12-05T00:00:00Z
63,50,63,4175,ZH,V,UDC,1972-01-25T00:00:00Z,Mauro,Tuena,m,2015-11-30T00:00:00Z
243,50,243,3907,VD,G,VERT-E-S,1971-12-15T00:00:00Z,Adèle,Thorens Goumaz,f,2007-12-03T00:00:00Z
138,50,138,4252,BS,GL,pvl,1972-08-01T00:00:00Z,Katja,Christ,f,2019-12-02T00:00:00Z
301,50,301,4093,ZH,G,VERT-E-S,1972-02-12T00:00:00Z,Balthasar,Glättli,m,2011-12-05T00:00:00Z
168,50,168,4282,AI,M-E,M-E,1971-11-14T00:00:00Z,Thomas,Rechsteiner,m,2019-12-02T00:00:00Z
24,50,24,4125,ZH,V,UDC,1972-10-12T00:00:00Z,Gregor,Rutz,m,2012-11-26T00:00:00Z
71,51,71,4183,VS,None,PDC,1971-01-18T00:00:00Z,Géraldine,Marchand-Balet,f,2015-11-30T00:00:00Z
133,51,133,4248,ZH,GL,pvl,1971-02-02T00:00:00Z,Judith,Bellaiche,f,2019-12-02T00:00:00Z
241,51,241,1346,VD,RL,PLR,1970-12-30T00:00:00Z,Isabelle,Moret,f,2006-12-04T00:00:00Z
2,51,2,4098,NW,V,UDC,1971-04-22T00:00:00Z,Peter,Keller,m,2011-12-05T00:00:00Z
59,51,59,4170,VS,None,UDC,1971-02-24T00:00:00Z,Franz,Ruppen,m,2015-11-30T00:00:00Z
149,51,149,4263,BE,V,UDF,1971-03-31T00:00:00Z,Andreas,Gafner,m,2019-12-02T00:00:00Z
290,51,290,4079,VD,None,PLR,1970-12-04T00:00:00Z,Fathi,Derder,m,2011-12-05T00:00:00Z
10,52,10,4106,ZH,None,PSS,1970-11-10T00:00:00Z,Martin,Naef,m,2011-12-05T00:00:00Z
188,52,188,4305,LU,M-E,M-E,1970-10-02T00:00:00Z,Priska,Wismer-Felder,f,2019-12-02T00:00:00Z
65,52,65,4176,ZH,None,UDC,1969-12-05T00:00:00Z,Hans-Ueli,Vogt,m,2015-11-30T00:00:00Z
108,52,108,4214,ZH,M-E,PEV,1970-05-01T00:00:00Z,Niklaus-Samuel,Gugger,m,2017-11-27T00:00:00Z
55,53,55,4167,GR,V,UDC,1969-08-13T00:00:00Z,Magdalena,Martullo-Blocher,f,2015-11-30T00:00:00Z
139,53,139,4253,VS,G,VERT-E-S,1969-01-07T00:00:00Z,Christophe,Clivaz,m,2019-12-02T00:00:00Z
36,53,36,4142,ZH,RL,PLR,1968-11-22T00:00:00Z,Beat,Walti,m,2014-06-02T00:00:00Z
292,53,292,4083,BE,GL,pvl,1969-08-24T00:00:00Z,Jürg,Grossen,m,2011-12-05T00:00:00Z
165,53,165,4279,VD,GL,pvl,1969-06-25T00:00:00Z,François,Pointet,m,2019-12-02T00:00:00Z
187,53,187,4304,BS,S,PSS,1969-10-02T00:00:00Z,Mustafa,Atici,m,2019-12-02T00:00:00Z
186,53,186,4301,GE,G,EàG,1969-01-25T00:00:00Z,Stefania,Prezioso Batou,f,2019-12-02T00:00:00Z
228,53,228,3888,GE,None,PLR,1969-05-05T00:00:00Z,Hugues,Hiltpold,m,2007-12-03T00:00:00Z
171,54,171,4285,OW,V,UDC,1968-03-25T00:00:00Z,Monika,Rüegger,f,2019-12-02T00:00:00Z
142,54,142,4256,GE,RL,PLR,1968-07-20T00:00:00Z,Simone,de Montmollin,f,2019-12-02T00:00:00Z
250,54,250,4008,GL,M-E,M-E,1968-06-30T00:00:00Z,Martin,Landolt,m,2009-03-02T00:00:00Z
173,54,173,4287,ZH,GL,pvl,1968-07-28T00:00:00Z,Barbara,Schaffner,f,2019-12-02T00:00:00Z
120,54,120,4199,ZH,S,PSS,1968-08-29T00:00:00Z,Priska,Seiler Graf,f,2015-11-30T00:00:00Z
289,54,289,491,VD,S,PSS,1968-03-16T00:00:00Z,Pierre-Yves,Maillard,m,1999-12-06T00:00:00Z
31,54,31,4135,NE,None,-,1967-12-18T00:00:00Z,Raymond,Clottu,m,2013-09-09T00:00:00Z
53,54,53,4165,SG,None,UDC,1968-08-24T00:00:00Z,Barbara,Keller-Inhelder,f,2015-11-30T00:00:00Z
170,54,170,4284,FR,M-E,M-E,1968-04-25T00:00:00Z,Marie-France,Roth Pasquier,f,2019-12-02T00:00:00Z
3,54,3,514,ZH,None,UDC,1968-01-16T00:00:00Z,Jürg,Stahl,m,1999-12-06T00:00:00Z
217,55,217,3876,LU,V,UDC,1967-02-26T00:00:00Z,Yvette,Estermann,f,2007-12-03T00:00:00Z
265,55,265,4052,SG,M-E,M-E,1967-04-19T00:00:00Z,Markus,Ritter,m,2011-12-05T00:00:00Z
105,55,105,4215,TG,None,PLR,1966-11-23T00:00:00Z,Hansjörg,Brunner,m,2017-11-27T00:00:00Z
4,55,4,4100,BE,V,UDC,1967-08-07T00:00:00Z,Albert,Rösti,m,2011-12-05T00:00:00Z
104,55,104,4212,VS,None,CSPO,1967-08-15T00:00:00Z,Thomas,Egger,m,2017-06-15T00:00:00Z
181,55,181,4296,SG,RL,PLR,1967-01-21T00:00:00Z,Susanne,Vincenz-Stauffacher,f,2019-12-02T00:00:00Z
183,55,183,4298,ZG,G,Al,1967-07-21T00:00:00Z,Manuela,Weichelt,f,2019-12-02T00:00:00Z
287,55,287,4076,SO,None,PSS,1967-02-06T00:00:00Z,Philipp,Hadorn,m,2011-12-05T00:00:00Z
263,55,263,4049,BE,S,PSS,1967-10-18T00:00:00Z,Matthias,Aebischer,m,2011-12-05T00:00:00Z
115,55,115,4221,LU,G,VERT-E-S,1967-03-16T00:00:00Z,Michael,Töngi,m,2018-03-12T00:00:00Z
273,55,273,4060,BL,RL,PLR,1967-09-19T00:00:00Z,Daniela,Schneeberger,f,2011-12-05T00:00:00Z
67,55,67,4178,ZH,None,UDC,1967-06-16T00:00:00Z,Claudio,Zanetti,m,2015-11-30T00:00:00Z
114,56,114,4222,SG,M-E,M-E,1966-06-08T00:00:00Z,Nicolo,Paganini,m,2018-03-12T00:00:00Z
209,56,209,3830,TI,S,PSS,1966-06-12T00:00:00Z,Marina,Carobbio Guscetti,f,2007-06-04T00:00:00Z
38,56,38,4144,ZH,V,UDC,1966-03-23T00:00:00Z,Thomas,Matter,m,2014-06-02T00:00:00Z
280,56,280,4069,AG,S,PSS,1966-03-21T00:00:00Z,Yvonne,Feri,f,2011-12-05T00:00:00Z
77,56,77,4188,VD,RL,PLR,1966-04-22T00:00:00Z,Frédéric,Borloz,m,2015-11-30T00:00:00Z
264,56,264,4051,BL,V,UDC,1966-07-29T00:00:00Z,Thomas,de Courten,m,2011-12-05T00:00:00Z
93,56,93,4202,ZH,RL,PLR,1966-04-16T00:00:00Z,Regine,Sauter,f,2015-11-30T00:00:00Z
182,56,182,4297,GE,G,VERT-E-S,1966-05-02T00:00:00Z,Nicolas,Walder,m,2019-12-02T00:00:00Z
150,56,150,4264,AG,None,UDC,1966-08-24T00:00:00Z,Jean-Pierre,Gallati,m,2019-12-02T00:00:00Z
66,56,66,4177,ZH,V,UDC,1966-04-11T00:00:00Z,Bruno,Walliser,m,2015-11-30T00:00:00Z
169,56,169,4283,SO,S,PSS,1966-04-17T00:00:00Z,Franziska,Roth,f,2019-12-02T00:00:00Z
231,57,231,3891,ZH,S,PSS,1965-03-25T00:00:00Z,Daniel,Jositsch,m,2007-12-03T00:00:00Z
252,57,252,4025,SG,V,UDC,1965-10-08T00:00:00Z,Roland Rino,Büchel,m,2010-03-01T00:00:00Z
239,57,239,3904,ZH,None,PDC,1965-11-10T00:00:00Z,Barbara,Schmid-Federer,f,2007-12-03T00:00:00Z
298,57,298,4089,LU,GL,pvl,1965-04-05T00:00:00Z,Roland,Fischer,m,2011-12-05T00:00:00Z
284,57,284,4073,TI,None,Lega,1965-09-19T00:00:00Z,Roberta,Pantani,f,2011-12-05T00:00:00Z
54,57,54,4166,ZH,V,UDC,1965-03-21T00:00:00Z,Roger,Köppel,m,2015-11-30T00:00:00Z
162,57,162,4276,GE,GL,pvl,1964-12-31T00:00:00Z,Michel,Matter,m,2019-12-02T00:00:00Z
272,57,272,4059,AG,GL,pvl,1965-01-21T00:00:00Z,Beat,Flach,m,2011-12-05T00:00:00Z
261,57,261,4045,BE,None,PSS,1965-06-19T00:00:00Z,Corrado,Pardini,m,2011-05-30T00:00:00Z
100,57,100,4194,VD,RL,PLR,1965-06-04T00:00:00Z,Laurent,Wehrli,m,2015-11-30T00:00:00Z
56,57,56,4168,VD,V,UDC,1965-10-24T00:00:00Z,Jacques,Nicolet,m,2015-11-30T00:00:00Z
98,58,98,1138,ZH,GL,pvl,1964-06-03T00:00:00Z,Martin,Bäumle,m,2003-12-01T00:00:00Z
7,58,7,4103,TG,None,UDC,1964-09-20T00:00:00Z,Markus,Hausammann,m,2011-12-05T00:00:00Z
212,58,212,1295,TG,S,PSS,1964-03-25T00:00:00Z,Edith,Graf-Litscher,f,2005-05-30T00:00:00Z
255,58,255,4032,BS,None,PSS,1964-07-12T00:00:00Z,Beat,Jans,m,2010-05-31T00:00:00Z
232,58,232,3895,GE,RL,PLR,1963-12-06T00:00:00Z,Christian,Lüscher,m,2007-12-03T00:00:00Z
21,58,21,4121,SG,S,PSS,1964-05-14T00:00:00Z,Barbara,Gysi,f,2011-12-12T00:00:00Z
80,58,80,4191,GE,None,PLR,1964-01-28T00:00:00Z,Benoît,Genecand,m,2015-11-30T00:00:00Z
42,58,42,4154,VS,V,UDC,1964-04-22T00:00:00Z,Jean-Luc,Addor,m,2015-11-30T00:00:00Z
69,58,69,4181,LU,M-E,M-E,1964-07-17T00:00:00Z,Andrea,Gmür-Schönenberger,f,2015-11-30T00:00:00Z
68,58,68,4180,SG,None,PDC,1964-07-13T00:00:00Z,Thomas,Ammann,m,2015-11-30T00:00:00Z
258,58,258,4040,BL,M-E,M-E,1964-02-19T00:00:00Z,Elisabeth,Schneider-Schneiter,f,2010-11-29T00:00:00Z
35,59,35,4141,ZH,RL,PLR,1963-02-22T00:00:00Z,Hans-Peter,Portmann,m,2014-05-07T00:00:00Z
41,59,41,4149,BE,None,VERT-E-S,1963-01-11T00:00:00Z,Christine,Häsler,f,2015-06-08T00:00:00Z
199,59,199,4317,AG,V,UDC,1962-11-21T00:00:00Z,Alois,Huber,m,2020-03-02T00:00:00Z
50,59,50,4162,LU,V,UDC,1963-07-29T00:00:00Z,Franz,Grüter,m,2015-11-30T00:00:00Z
229,59,229,3890,SH,V,UDC,1963-11-01T00:00:00Z,Thomas,Hurter,m,2007-12-03T00:00:00Z
112,59,112,4220,VS,M-E,M-E,1962-11-22T00:00:00Z,Benjamin,Roduit,m,2018-02-26T00:00:00Z
88,59,88,4200,GR,None,PBD,1963-04-05T00:00:00Z,Duri,Campell,m,2015-11-30T00:00:00Z
49,60,49,4161,AG,V,UDC,1962-10-09T00:00:00Z,Andreas,Glarner,m,2015-11-30T00:00:00Z
260,60,260,1109,ZG,M-E,M-E,1962-10-01T00:00:00Z,Gerhard,Pfister,m,2003-12-01T00:00:00Z
96,60,96,4208,AG,RL,PLR,1962-04-20T00:00:00Z,Matthias Samuel,Jauslin,m,2015-11-30T00:00:00Z
211,60,211,1288,VS,None,M-E,1962-06-07T00:00:00Z,Viola,Amherd,f,2005-05-31T00:00:00Z
242,60,242,3905,VS,None,PDC,1962-07-16T00:00:00Z,Roberto,Schmidt,m,2007-12-03T00:00:00Z
19,60,19,4118,TG,M-E,M-E,1962-04-05T00:00:00Z,Christian,Lohr,m,2011-12-05T00:00:00Z
22,60,22,4123,FR,S,PSS,1961-11-26T00:00:00Z,Ursula,Schneider Schüttel,f,2012-05-29T00:00:00Z
128,60,128,4236,ZH,V,UDC,1962-05-03T00:00:00Z,Martin,Haab,m,2019-06-03T00:00:00Z
303,60,303,4095,BE,G,VERT-E-S,1962-03-02T00:00:00Z,Regula,Rytz,f,2011-12-05T00:00:00Z
34,60,34,4140,TI,None,PLR,1962-05-27T00:00:00Z,Giovanni,Merlini,m,2014-03-10T00:00:00Z
271,60,271,4058,ZH,S,PSS,1961-11-12T00:00:00Z,Jacqueline,Badran,f,2011-12-05T00:00:00Z
283,60,283,4072,TI,M-E,M-E,1962-06-22T00:00:00Z,Fabio,Regazzi,m,2011-12-05T00:00:00Z
220,60,220,806,BL,G,VERT-E-S,1962-02-28T00:00:00Z,Maya,Graf,f,2001-06-05T00:00:00Z
76,60,76,4187,NE,RL,PLR,1962-04-09T00:00:00Z,Philippe,Bauer,m,2015-11-30T00:00:00Z
60,60,60,4172,BE,V,UDC,1962-11-05T00:00:00Z,Werner,Salzmann,m,2015-11-30T00:00:00Z
46,60,46,4158,AG,V,UDC,1962-08-01T00:00:00Z,Thomas,Burgherr,m,2015-11-30T00:00:00Z
119,60,119,1159,SZ,V,UDC,1961-12-28T00:00:00Z,Pirmin,Schwander,m,2003-12-01T00:00:00Z
227,61,227,3887,ZH,V,UDC,1961-10-12T00:00:00Z,Alfred,Heer,m,2007-12-03T00:00:00Z
151,61,151,4265,GR,RL,PLR,1961-09-08T00:00:00Z,Anna,Giacometti,f,2019-12-02T00:00:00Z
113,61,113,1153,ZH,RL,PLR,1961-04-14T00:00:00Z,Ruedi,Noser,m,2003-12-01T00:00:00Z
213,61,213,3865,FR,None,PSS,1961-02-07T00:00:00Z,Jean-François,Steiert,m,2007-09-17T00:00:00Z
208,61,208,3828,TI,None,PLR,1961-04-13T00:00:00Z,Ignazio,Cassis,m,2007-06-04T00:00:00Z
205,61,205,4324,BS,RL,PLD,1961-04-11T00:00:00Z,Patricia,von Falkenstein,f,2021-11-29T00:00:00Z
302,61,302,4094,BE,M-E,M-E,1961-06-28T00:00:00Z,Lorenz,Hess,m,2011-12-05T00:00:00Z
269,62,269,4056,AI,M-E,M-E,1960-08-22T00:00:00Z,Daniel,Fässler,m,2011-12-05T00:00:00Z
89,62,89,4201,NE,G,PdT,1960-10-24T00:00:00Z,Denis,de la Reussille,m,2015-11-30T00:00:00Z
