,Unnamed: 0,cantonName,faction,party,birthDate,firstName,lastName,gender,entryDate
23,4124,LU,RL,PLR,1959-06-01T00:00:00Z,Peter,Schilliger,m,2012-09-10T00:00:00Z
24,4125,ZH,V,UDC,1972-10-12T00:00:00Z,Gregor,Rutz,m,2012-11-26T00:00:00Z
25,4128,BE,G,VERT-E-S,1983-08-26T00:00:00Z,Aline,Trede,f,2013-03-04T00:00:00Z
26,4129,TG,V,UDC,1956-02-07T00:00:00Z,Verena,Herzog,f,2013-03-04T00:00:00Z
27,4130,BE,S,PSS,1984-10-04T00:00:00Z,Nadine,Masshardt,f,2013-03-04T00:00:00Z
28,4131,SG,S,PSS,1960-07-19T00:00:00Z,Claudia,Friedl,f,2013-03-04T00:00:00Z
29,4179,AR,V,UDC,1979-02-20T00:00:00Z,David,Zuberbühler,m,2015-11-30T00:00:00Z
30,4134,SH,S,PSS,1955-12-26T00:00:00Z,Martina,Munz,f,2013-09-09T00:00:00Z
31,4135,NE,None,-,1967-12-18T00:00:00Z,Raymond,Clottu,m,2013-09-09T00:00:00Z
32,4137,GE,None,MCG,1959-09-23T00:00:00Z,Roger,Golay,m,2013-12-02T00:00:00Z
33,4138,GE,None,PDC,1982-01-13T00:00:00Z,Guillaume,Barazzone,m,2013-12-09T00:00:00Z
34,4140,TI,None,PLR,1962-05-27T00:00:00Z,Giovanni,Merlini,m,2014-03-10T00:00:00Z
35,4141,ZH,RL,PLR,1963-02-22T00:00:00Z,Hans-Peter,Portmann,m,2014-05-07T00:00:00Z
36,4142,ZH,RL,PLR,1968-11-22T00:00:00Z,Beat,Walti,m,2014-06-02T00:00:00Z
37,1071,AG,M-E,M-E,1957-07-23T00:00:00Z,Ruth,Humbel,f,2003-09-15T00:00:00Z
38,4144,ZH,V,UDC,1966-03-23T00:00:00Z,Thomas,Matter,m,2014-06-02T00:00:00Z
39,4143,VD,None,PSS,1982-02-04T00:00:00Z,Rebecca Ana,Ruiz,f,2014-06-02T00:00:00Z
40,4146,BE,M-E,M-E,1955-10-11T00:00:00Z,Heinz,Siegenthaler,m,2014-11-24T00:00:00Z
41,4149,BE,None,VERT-E-S,1963-01-11T00:00:00Z,Christine,Häsler,f,2015-06-08T00:00:00Z
42,4154,VS,V,UDC,1964-04-22T00:00:00Z,Jean-Luc,Addor,m,2015-11-30T00:00:00Z
43,4155,UR,None,None,1978-04-24T00:00:00Z,Beat,Arnold,m,2015-11-30T00:00:00Z
44,4156,VD,V,UDC,1979-09-27T00:00:00Z,Michaël,Buffat,m,2015-11-30T00:00:00Z
45,4157,BE,None,UDC,1979-04-10T00:00:00Z,Manfred,Bühler,m,2015-11-30T00:00:00Z
46,4158,AG,V,UDC,1962-08-01T00:00:00Z,Thomas,Burgherr,m,2015-11-30T00:00:00Z
47,4159,TI,V,UDC,1974-10-10T00:00:00Z,Marco,Chiesa,m,2015-11-30T00:00:00Z
48,4160,SZ,V,UDC,1981-02-01T00:00:00Z,Marcel,Dettling,m,2015-11-30T00:00:00Z
49,4161,AG,V,UDC,1962-10-09T00:00:00Z,Andreas,Glarner,m,2015-11-30T00:00:00Z
50,4162,LU,V,UDC,1963-07-29T00:00:00Z,Franz,Grüter,m,2015-11-30T00:00:00Z
51,4163,BE,V,UDC,1981-03-25T00:00:00Z,Erich,Hess,m,2015-11-30T00:00:00Z
52,4164,SO,V,UDC,1982-01-29T00:00:00Z,Christian,Imark,m,2015-11-30T00:00:00Z
53,4165,SG,None,UDC,1968-08-24T00:00:00Z,Barbara,Keller-Inhelder,f,2015-11-30T00:00:00Z
54,4166,ZH,V,UDC,1965-03-21T00:00:00Z,Roger,Köppel,m,2015-11-30T00:00:00Z
55,4167,GR,V,UDC,1969-08-13T00:00:00Z,Magdalena,Martullo-Blocher,f,2015-11-30T00:00:00Z
56,4168,VD,V,UDC,1965-10-24T00:00:00Z,Jacques,Nicolet,m,2015-11-30T00:00:00Z
57,4169,FR,V,UDC,1960-04-19T00:00:00Z,Pierre-André,Page,m,2015-11-30T00:00:00Z
58,74,BS,None,PLD,1951-01-15T00:00:00Z,Christoph,Eymann,m,1991-11-25T00:00:00Z
59,4170,VS,None,UDC,1971-02-24T00:00:00Z,Franz,Ruppen,m,2015-11-30T00:00:00Z
60,4172,BE,V,UDC,1962-11-05T00:00:00Z,Werner,Salzmann,m,2015-11-30T00:00:00Z
61,4173,BL,V,UDC,1973-10-27T00:00:00Z,Sandra,Sollberger,f,2015-11-30T00:00:00Z
62,4174,ZH,V,UDC,1976-06-18T00:00:00Z,Barbara,Steinemann,f,2015-11-30T00:00:00Z
63,4175,ZH,V,UDC,1972-01-25T00:00:00Z,Mauro,Tuena,m,2015-11-30T00:00:00Z
64,1104,SG,None,PDC,1952-05-29T00:00:00Z,Jakob,Büchler,m,2003-12-01T00:00:00Z
65,4176,ZH,None,UDC,1969-12-05T00:00:00Z,Hans-Ueli,Vogt,m,2015-11-30T00:00:00Z
66,4177,ZH,V,UDC,1966-04-11T00:00:00Z,Bruno,Walliser,m,2015-11-30T00:00:00Z
67,4178,ZH,None,UDC,1967-06-16T00:00:00Z,Claudio,Zanetti,m,2015-11-30T00:00:00Z
68,4180,SG,None,PDC,1964-07-13T00:00:00Z,Thomas,Ammann,m,2015-11-30T00:00:00Z
69,4181,LU,M-E,M-E,1964-07-17T00:00:00Z,Andrea,Gmür-Schönenberger,f,2015-11-30T00:00:00Z
70,4182,VD,None,PDC,1949-12-04T00:00:00Z,Claude,Béglé,m,2015-11-30T00:00:00Z
71,4183,VS,None,PDC,1971-01-18T00:00:00Z,Géraldine,Marchand-Balet,f,2015-11-30T00:00:00Z
72,4184,BS,G,BastA,1980-06-23T00:00:00Z,Sibel,Arslan,f,2015-11-30T00:00:00Z
73,4185,AG,None,VERT-E-S,1977-03-30T00:00:00Z,Jonas,Fricker,m,2015-11-30T00:00:00Z
74,4186,GE,G,VERT-E-S,1988-01-25T00:00:00Z,Lisa,Mazzone,f,2015-11-30T00:00:00Z
75,91,AG,None,UDC,1953-10-31T00:00:00Z,Ulrich,Giezendanner,m,1991-11-25T00:00:00Z
76,4187,NE,RL,PLR,1962-04-09T00:00:00Z,Philippe,Bauer,m,2015-11-30T00:00:00Z
77,4188,VD,RL,PLR,1966-04-22T00:00:00Z,Frédéric,Borloz,m,2015-11-30T00:00:00Z
78,4189,AG,RL,PLR,1975-08-21T00:00:00Z,Thierry,Burkart,m,2015-11-30T00:00:00Z
79,4190,SG,RL,PLR,1980-08-29T00:00:00Z,Marcel,Dobler,m,2015-11-30T00:00:00Z
80,4191,GE,None,PLR,1964-01-28T00:00:00Z,Benoît,Genecand,m,2015-11-30T00:00:00Z
81,4192,TG,None,PLR,1951-12-22T00:00:00Z,Hermann,Hess,m,2015-11-30T00:00:00Z
82,1122,SO,RL,PLR,1955-08-19T00:00:00Z,Kurt,Fluri,m,2003-12-01T00:00:00Z
83,4195,GE,S,PSS,1955-09-11T00:00:00Z,Laurence,Fehlmann Rielle,f,2015-11-30T00:00:00Z
84,1124,FR,None,PDC,1956-04-28T00:00:00Z,Dominique,de Buman,m,2003-12-01T00:00:00Z
85,1125,ZH,None,PSS,1972-12-17T00:00:00Z,Chantal,Galladé,f,2003-12-01T00:00:00Z
86,4196,ZH,None,PSS,1950-09-19T00:00:00Z,Tim,Guldimann,m,2015-11-30T00:00:00Z
87,4197,ZH,S,PSS,1974-06-01T00:00:00Z,Min Li,Marti,f,2015-11-30T00:00:00Z
88,4200,GR,None,PBD,1963-04-05T00:00:00Z,Duri,Campell,m,2015-11-30T00:00:00Z
89,4201,NE,G,PdT,1960-10-24T00:00:00Z,Denis,de la Reussille,m,2015-11-30T00:00:00Z
90,4198,ZH,S,PSS,1987-11-09T00:00:00Z,Mattea,Meyer,f,2015-11-30T00:00:00Z
91,1131,BE,None,PSS,1978-07-16T00:00:00Z,Evi,Allemann,f,2003-12-01T00:00:00Z
92,4193,VS,RL,PLR,1984-03-27T00:00:00Z,Philippe,Nantermod,m,2015-11-30T00:00:00Z
93,4202,ZH,RL,PLR,1966-04-16T00:00:00Z,Regine,Sauter,f,2015-11-30T00:00:00Z
94,1129,BS,None,PSS,1954-01-17T00:00:00Z,Silvia,Schenker,f,2003-12-01T00:00:00Z
95,1135,BE,None,UDC,1953-12-02T00:00:00Z,Adrian,Amstutz,m,2003-12-01T00:00:00Z
96,4208,AG,RL,PLR,1962-04-20T00:00:00Z,Matthias Samuel,Jauslin,m,2015-11-30T00:00:00Z
97,1137,SG,None,PLR,1948-04-25T00:00:00Z,Walter,Müller,m,2003-12-01T00:00:00Z
98,1138,ZH,GL,pvl,1964-06-03T00:00:00Z,Martin,Bäumle,m,2003-12-01T00:00:00Z
99,1139,BE,RL,PLR,1975-07-27T00:00:00Z,Christa,Markwalder,f,2003-12-01T00:00:00Z
100,4194,VD,RL,PLR,1965-06-04T00:00:00Z,Laurent,Wehrli,m,2015-11-30T00:00:00Z
101,4209,ZH,None,PLR,1958-04-05T00:00:00Z,Hans-Ulrich,Bigler,m,2015-12-08T00:00:00Z
102,1142,SO,V,UDC,1957-11-21T00:00:00Z,Walter,Wobmann,m,2003-12-01T00:00:00Z
103,4213,VD,S,PSS,1980-06-11T00:00:00Z,Samuel,Bendahan,m,2017-06-15T00:00:00Z
104,4212,VS,None,CSPO,1967-08-15T00:00:00Z,Thomas,Egger,m,2017-06-15T00:00:00Z
105,4215,TG,None,PLR,1966-11-23T00:00:00Z,Hansjörg,Brunner,m,2017-11-27T00:00:00Z
106,4217,TI,RL,PLR,1958-12-06T00:00:00Z,Rocco,Cattaneo,m,2017-11-27T00:00:00Z
107,1147,BE,None,PSS,1953-04-17T00:00:00Z,Margret,Kiener Nellen,f,2003-12-01T00:00:00Z
108,4214,ZH,M-E,PEV,1970-05-01T00:00:00Z,Niklaus-Samuel,Gugger,m,2017-11-27T00:00:00Z
109,4216,TG,V,UDC,1984-01-13T00:00:00Z,Diana,Gutjahr,f,2017-11-27T00:00:00Z
110,4218,AG,G,VERT-E-S,1987-02-06T00:00:00Z,Irène,Kälin,f,2017-11-27T00:00:00Z
111,4219,VD,S,PSS,1957-10-06T00:00:00Z,Brigitte,Crottaz,f,2018-02-26T00:00:00Z
112,4220,VS,M-E,M-E,1962-11-22T00:00:00Z,Benjamin,Roduit,m,2018-02-26T00:00:00Z
113,1153,ZH,RL,PLR,1961-04-14T00:00:00Z,Ruedi,Noser,m,2003-12-01T00:00:00Z
114,4222,SG,M-E,M-E,1966-06-08T00:00:00Z,Nicolo,Paganini,m,2018-03-12T00:00:00Z
115,4221,LU,G,VERT-E-S,1967-03-16T00:00:00Z,Michael,Töngi,m,2018-03-12T00:00:00Z
116,1156,SO,None,PSS,1946-04-07T00:00:00Z,Bea,Heim,f,2003-12-01T00:00:00Z
117,4223,ZH,S,PSS,1990-07-08T00:00:00Z,Fabian,Molina,m,2018-03-15T00:00:00Z
118,4224,BE,S,PSS,1979-02-07T00:00:00Z,Flavia,Wasserfallen,f,2018-05-29T00:00:00Z
119,1159,SZ,V,UDC,1961-12-28T00:00:00Z,Pirmin,Schwander,m,2003-12-01T00:00:00Z
120,4199,ZH,S,PSS,1968-08-29T00:00:00Z,Priska,Seiler Graf,f,2015-11-30T00:00:00Z
121,4226,BE,None,PSS,1980-05-07T00:00:00Z,Adrian,Wüthrich,m,2018-05-29T00:00:00Z
122,4225,ZH,M-E,M-E,1975-08-31T00:00:00Z,Philipp,Kutter,m,2018-06-11T00:00:00Z
123,4227,ZH,None,pvl,1979-02-05T00:00:00Z,Daniel,Frei,m,2018-12-10T00:00:00Z
124,4228,BL,S,PSS,1994-01-23T00:00:00Z,Samira,Marti,f,2018-12-10T00:00:00Z
125,4230,VS,M-E,M-E,1978-07-07T00:00:00Z,Philipp Matthias,Bregy,m,2019-03-04T00:00:00Z
126,4229,SG,V,UDC,1992-08-02T00:00:00Z,Mike,Egger,m,2019-03-04T00:00:00Z
127,4232,VD,None,PSS,1982-12-09T00:00:00Z,Nicolas,Rochat Fernandez,m,2019-05-07T00:00:00Z
128,4236,ZH,V,UDC,1962-05-03T00:00:00Z,Martin,Haab,m,2019-06-03T00:00:00Z
129,4234,ZH,V,UDC,1959-04-14T00:00:00Z,Therese,Schläpfer,f,2019-06-03T00:00:00Z
130,4245,FR,G,VERT-E-S,1976-01-21T00:00:00Z,Gerhard,Andrey,m,2019-12-02T00:00:00Z
131,4246,BE,G,VERT-E-S,1982-01-11T00:00:00Z,Christine,Badertscher,f,2019-12-02T00:00:00Z
132,4247,BE,G,VERT-E-S,1980-12-14T00:00:00Z,Kilian,Baumann,m,2019-12-02T00:00:00Z
133,4248,ZH,GL,pvl,1971-02-02T00:00:00Z,Judith,Bellaiche,f,2019-12-02T00:00:00Z
134,4249,AG,M-E,M-E,1958-06-15T00:00:00Z,Marianne,Binder-Keller,f,2019-12-02T00:00:00Z
135,4250,AG,V,UDC,1984-04-13T00:00:00Z,Martina,Bircher,f,2019-12-02T00:00:00Z
136,4203,ZH,S,PSS,1976-08-22T00:00:00Z,Angelo,Barrile,m,2015-12-08T00:00:00Z
137,4251,SG,GL,pvl,1960-07-25T00:00:00Z,Thomas,Brunner,m,2019-12-02T00:00:00Z
138,4252,BS,GL,pvl,1972-08-01T00:00:00Z,Katja,Christ,f,2019-12-02T00:00:00Z
139,4253,VS,G,VERT-E-S,1969-01-07T00:00:00Z,Christophe,Clivaz,m,2019-12-02T00:00:00Z
140,4254,NE,RL,PLR,1975-04-03T00:00:00Z,Damien,Cottier,m,2019-12-02T00:00:00Z
141,4255,GE,S,PSS,1981-02-13T00:00:00Z,Christian,Dandrès,m,2019-12-02T00:00:00Z
142,4256,GE,RL,PLR,1968-07-20T00:00:00Z,Simone,de Montmollin,f,2019-12-02T00:00:00Z
143,4257,VD,RL,PLR,1960-06-24T00:00:00Z,Jacqueline,de Quattro,f,2019-12-02T00:00:00Z
144,4258,TG,G,VERT-E-S,1956-01-19T00:00:00Z,Kurt,Egger,m,2019-12-02T00:00:00Z
145,4259,TI,RL,PLR,1981-12-16T00:00:00Z,Alex,Farinelli,m,2019-12-02T00:00:00Z
146,4260,NE,G,VERT-E-S,1978-02-25T00:00:00Z,Fabien,Fivaz,m,2019-12-02T00:00:00Z
147,4261,SG,V,UDC,1977-06-04T00:00:00Z,Esther,Friedli,f,2019-12-02T00:00:00Z
148,4262,BE,S,PSS,1990-03-20T00:00:00Z,Tamara,Funiciello,f,2019-12-02T00:00:00Z
149,4263,BE,V,UDF,1971-03-31T00:00:00Z,Andreas,Gafner,m,2019-12-02T00:00:00Z
150,4264,AG,None,UDC,1966-08-24T00:00:00Z,Jean-Pierre,Gallati,m,2019-12-02T00:00:00Z
151,4265,GR,RL,PLR,1961-09-08T00:00:00Z,Anna,Giacometti,f,2019-12-02T00:00:00Z
152,4266,AG,V,UDC,1982-04-22T00:00:00Z,Benjamin,Giezendanner,m,2019-12-02T00:00:00Z
153,4267,ZH,GL,pvl,1987-09-08T00:00:00Z,Corina,Gredig,f,2019-12-02T00:00:00Z
154,173,AG,None,UDC,1942-05-07T00:00:00Z,Maximilian,Reimann,m,1987-11-30T00:00:00Z
155,4268,TI,G,VERT-E-S,1983-10-06T00:00:00Z,Greta,Gysin,f,2019-12-02T00:00:00Z
156,4270,NE,S,PSS,1986-04-04T00:00:00Z,Baptiste,Hurni,m,2019-12-02T00:00:00Z
157,4271,VS,M-E,M-E,1975-03-19T00:00:00Z,Sidney,Kamerzin,m,2019-12-02T00:00:00Z
158,4272,GE,G,VERT-E-S,1976-06-09T00:00:00Z,Delphine,Klopfenstein Broggini,f,2019-12-02T00:00:00Z
159,4273,GR,S,PSS,1975-09-16T00:00:00Z,Sandra,Locher Benguerel,f,2019-12-02T00:00:00Z
160,4274,ZH,GL,pvl,1975-07-20T00:00:00Z,Jörg,Mäder,m,2019-12-02T00:00:00Z
161,4275,GE,M-E,M-E,1981-01-12T00:00:00Z,Vincent,Maitre,m,2019-12-02T00:00:00Z
162,4276,GE,GL,pvl,1964-12-31T00:00:00Z,Michel,Matter,m,2019-12-02T00:00:00Z
163,4277,BE,GL,pvl,1977-12-03T00:00:00Z,Melanie,Mettler,f,2019-12-02T00:00:00Z
164,4278,VD,G,VERT-E-S,1975-01-20T00:00:00Z,Sophie,Michaud Gigon,f,2019-12-02T00:00:00Z
165,4279,VD,GL,pvl,1969-06-25T00:00:00Z,François,Pointet,m,2019-12-02T00:00:00Z
166,4280,VD,G,VERT-E-S,1989-07-09T00:00:00Z,Léonore,Porchet,f,2019-12-02T00:00:00Z
167,4281,GR,S,PSS,1984-10-12T00:00:00Z,Jon,Pult,m,2019-12-02T00:00:00Z
168,4282,AI,M-E,M-E,1971-11-14T00:00:00Z,Thomas,Rechsteiner,m,2019-12-02T00:00:00Z
169,4283,SO,S,PSS,1966-04-17T00:00:00Z,Franziska,Roth,f,2019-12-02T00:00:00Z
170,4284,FR,M-E,M-E,1968-04-25T00:00:00Z,Marie-France,Roth Pasquier,f,2019-12-02T00:00:00Z
171,4285,OW,V,UDC,1968-03-25T00:00:00Z,Monika,Rüegger,f,2019-12-02T00:00:00Z
172,4286,SG,G,VERT-E-S,1991-10-22T00:00:00Z,Franziska,Ryser,f,2019-12-02T00:00:00Z
173,4287,ZH,GL,pvl,1968-07-28T00:00:00Z,Barbara,Schaffner,f,2019-12-02T00:00:00Z
174,4288,ZH,G,VERT-E-S,1980-11-14T00:00:00Z,Marionna,Schlatter,f,2019-12-02T00:00:00Z
175,4289,ZH,G,VERT-E-S,1992-08-22T00:00:00Z,Meret,Schneider,f,2019-12-02T00:00:00Z
176,4290,ZH,RL,PLR,1994-02-26T00:00:00Z,Andri,Silberschmidt,m,2019-12-02T00:00:00Z
177,4292,UR,M-E,M-E,1988-05-02T00:00:00Z,Simon,Stadler,m,2019-12-02T00:00:00Z
178,4293,TG,V,UDC,1980-04-12T00:00:00Z,Manuel,Strupler,m,2019-12-02T00:00:00Z
179,4294,AG,M-E,PEV,1977-12-20T00:00:00Z,Lilian,Studer,f,2019-12-02T00:00:00Z
180,4295,AG,S,PSS,1972-12-12T00:00:00Z,Gabriela,Suter,f,2019-12-02T00:00:00Z
181,4296,SG,RL,PLR,1967-01-21T00:00:00Z,Susanne,Vincenz-Stauffacher,f,2019-12-02T00:00:00Z
182,4297,GE,G,VERT-E-S,1966-05-02T00:00:00Z,Nicolas,Walder,m,2019-12-02T00:00:00Z
183,4298,ZG,G,Al,1967-07-21T00:00:00Z,Manuela,Weichelt,f,2019-12-02T00:00:00Z
184,4299,SO,G,VERT-E-S,1958-01-19T00:00:00Z,Felix,Wettstein,m,2019-12-02T00:00:00Z
185,4300,ZH,S,PSS,1978-05-26T00:00:00Z,Céline,Widmer,f,2019-12-02T00:00:00Z
186,4301,GE,G,EàG,1969-01-25T00:00:00Z,Stefania,Prezioso Batou,f,2019-12-02T00:00:00Z
187,4304,BS,S,PSS,1969-10-02T00:00:00Z,Mustafa,Atici,m,2019-12-02T00:00:00Z
188,4305,LU,M-E,M-E,1970-10-02T00:00:00Z,Priska,Wismer-Felder,f,2019-12-02T00:00:00Z
189,4307,VD,G,VERT-E-S,1975-06-18T00:00:00Z,Valentine,Python,f,2019-12-02T00:00:00Z
190,724,VD,None,VERT-E-S,1950-01-04T00:00:00Z,Daniel,Brélaz,m,1979-11-26T00:00:00Z
191,4308,GE,G,VERT-E-S,1973-03-17T00:00:00Z,Isabelle,Pasquier-Eichenberger,f,2019-12-02T00:00:00Z
192,214,AG,None,UDC,1952-09-09T00:00:00Z,Luzi,Stamm,m,1991-11-25T00:00:00Z
193,4310,BE,V,UDC,1977-07-19T00:00:00Z,Lars,Guggisberg,m,2019-12-02T00:00:00Z
194,4311,TI,V,UDC,1981-09-19T00:00:00Z,Piero,Marchesi,m,2019-12-02T00:00:00Z
195,4313,AG,RL,PLR,1978-05-23T00:00:00Z,Maja,Riniker,f,2019-12-02T00:00:00Z
196,4314,AG,V,UDC,1987-04-25T00:00:00Z,Stefanie,Heimgartner,f,2019-12-02T00:00:00Z
197,4312,TI,S,PSS,1954-08-17T00:00:00Z,Bruno,Storni,m,2019-12-02T00:00:00Z
198,4315,BL,G,VERT-E-S,1975-04-15T00:00:00Z,Florence,Brenzikofer,f,2019-12-09T00:00:00Z
199,4317,AG,V,UDC,1962-11-21T00:00:00Z,Alois,Huber,m,2020-03-02T00:00:00Z
200,4318,BS,S,PSS,1988-08-03T00:00:00Z,Sarah,Wyss,f,2020-12-18T00:00:00Z
201,4319,VS,V,UDC,1981-06-03T00:00:00Z,Michael,Graber,m,2021-05-04T00:00:00Z
202,224,BE,None,None,1952-04-16T00:00:00Z,Alexander,Tschäppät,m,1991-11-25T00:00:00Z
203,4320,VS,S,PSS,1980-07-31T00:00:00Z,Emmanuel,Amoos,m,2021-06-01T00:00:00Z
204,4323,VD,GL,pvl,1974-08-22T00:00:00Z,Céline,Weber,f,2021-11-29T00:00:00Z
205,4324,BS,RL,PLD,1961-04-11T00:00:00Z,Patricia,von Falkenstein,f,2021-11-29T00:00:00Z
206,4326,ZH,V,UDC,1991-08-16T00:00:00Z,Benjamin,Fischer,m,2022-02-28T00:00:00Z
207,4327,VD,G,VERT-E-S,1983-12-31T00:00:00Z,Raphaël,Mahaim,m,2022-02-28T00:00:00Z
208,3828,TI,None,PLR,1961-04-13T00:00:00Z,Ignazio,Cassis,m,2007-06-04T00:00:00Z
209,3830,TI,S,PSS,1966-06-12T00:00:00Z,Marina,Carobbio Guscetti,f,2007-06-04T00:00:00Z
210,1279,VD,S,PSS,1973-03-23T00:00:00Z,Roger,Nordmann,m,2004-11-30T00:00:00Z
211,1288,VS,None,M-E,1962-06-07T00:00:00Z,Viola,Amherd,f,2005-05-31T00:00:00Z
212,1295,TG,S,PSS,1964-03-25T00:00:00Z,Edith,Graf-Litscher,f,2005-05-30T00:00:00Z
213,3865,FR,None,PSS,1961-02-07T00:00:00Z,Jean-François,Steiert,m,2007-09-17T00:00:00Z
214,3867,BE,V,UDC,1958-11-26T00:00:00Z,Andreas,Aebi,m,2007-12-03T00:00:00Z
215,3872,FR,RL,PLR,1958-03-14T00:00:00Z,Jacques,Bourgeois,m,2007-12-03T00:00:00Z
216,3875,AG,None,PLR,1954-10-14T00:00:00Z,Corina,Eichenberger-Walther,f,2007-12-03T00:00:00Z
217,3876,LU,V,UDC,1967-02-26T00:00:00Z,Yvette,Estermann,f,2007-12-03T00:00:00Z
218,3877,ZH,RL,PLR,1957-01-29T00:00:00Z,Doris,Fiala,f,2007-12-03T00:00:00Z
219,3878,AG,None,UDC,1952-06-01T00:00:00Z,Sylvia,Flückiger-Bäni,f,2007-12-03T00:00:00Z
220,806,BL,G,VERT-E-S,1962-02-28T00:00:00Z,Maya,Graf,f,2001-06-05T00:00:00Z
221,3880,BE,V,UDC,1976-08-03T00:00:00Z,Andrea Martina,Geissbühler,f,2007-12-03T00:00:00Z
222,1318,LU,None,VERT-E-S,1952-10-31T00:00:00Z,Louis,Schelbert,m,2006-03-06T00:00:00Z
223,3882,ZH,G,VERT-E-S,1980-12-21T00:00:00Z,Bastien,Girod,m,2007-12-03T00:00:00Z
224,3883,VD,None,UDC,1954-10-18T00:00:00Z,Alice,Glauser-Zufferey,f,2007-12-03T00:00:00Z
225,3885,VD,V,UDC,1947-03-16T00:00:00Z,Jean-Pierre,Grin,m,2007-12-03T00:00:00Z
226,3886,BE,None,PBD,1956-06-13T00:00:00Z,Hans,Grunder,m,2007-12-03T00:00:00Z
227,3887,ZH,V,UDC,1961-10-12T00:00:00Z,Alfred,Heer,m,2007-12-03T00:00:00Z
228,3888,GE,None,PLR,1969-05-05T00:00:00Z,Hugues,Hiltpold,m,2007-12-03T00:00:00Z
229,3890,SH,V,UDC,1963-11-01T00:00:00Z,Thomas,Hurter,m,2007-12-03T00:00:00Z
230,307,SG,None,UDC,1974-08-23T00:00:00Z,Toni,Brunner,m,1995-12-04T00:00:00Z
231,3891,ZH,S,PSS,1965-03-25T00:00:00Z,Daniel,Jositsch,m,2007-12-03T00:00:00Z
232,3895,GE,RL,PLR,1963-12-06T00:00:00Z,Christian,Lüscher,m,2007-12-03T00:00:00Z
233,1337,LU,M-E,M-E,1958-09-29T00:00:00Z,Ida,Glanzmann-Hunkeler,f,2006-09-18T00:00:00Z
234,3897,ZH,GL,pvl,1979-04-06T00:00:00Z,Tiana Angelina,Moser,f,2007-12-03T00:00:00Z
235,3898,GE,V,UDC,1957-05-17T00:00:00Z,Yves,Nidegger,m,2007-12-03T00:00:00Z
236,3899,BL,S,PSS,1960-07-11T00:00:00Z,Eric,Nussbaumer,m,2007-12-03T00:00:00Z
237,3901,SG,V,UDC,1982-09-18T00:00:00Z,Lukas,Reimann,m,2007-12-03T00:00:00Z
238,3902,ZH,None,UDC,1976-11-19T00:00:00Z,Natalie,Rickli,f,2007-12-03T00:00:00Z
239,3904,ZH,None,PDC,1965-11-10T00:00:00Z,Barbara,Schmid-Federer,f,2007-12-03T00:00:00Z
